Feature Id,Importances
organization,10.434539011524778
region_profession,2.1631300895272716
job_location_geo_longitude,2.0918503958359076
job_location_geo_latitude,1.9179793589148189
requirements_qualifications_3,1.3320831195058733
requirements_qualifications_5,1.3209082447576803
median_federal_district_profession_mean_salary,1.318850142658921
requirements_qualifications_6,1.3033745089919735
requirements_qualifications_1,1.2952825602765086
requirements_qualifications_2,1.2664561035262978
responsibilities_5,1.257900510350579
requirements_qualifications_7,1.2492885658577442
min_region_mean_salary,1.231811390519658
requirements_qualifications_0,1.230732476841794
requirements_qualifications_4,1.2178430321401588
title_6,1.2051944423151342
title_5,1.1967051559948576
responsibilities_4,1.174248911037467
responsibilities_6,1.1658009821647162
date_creation_timestamp,1.1567691114825835
responsibilities_0,1.1305114852942817
title_4,1.111566912863724
median_region_mean_salary,1.0975139393461555
title_7,1.0972641159893843
responsibilities_7,1.0862700314110871
title_1,1.0664799717128937
responsibilities_3,1.0585103259981634
responsibilities_1,1.0392328783661844
responsibilities_2,1.0298075112465377
title_3,0.9929530448346152
median_education_requirements_education_type_profession_mean_salary,0.9866303582244251
job_benefits_other_benefits_2,0.9721568145213582
job_benefits_other_benefits_1,0.9588240419594934
day,0.9509357711972395
job_benefits_other_benefits_7,0.928323561937891
title_2,0.8948751774273834
std_federal_district_profession_mean_salary,0.8717846887718692
job_benefits_other_benefits_6,0.8654317497217683
job_benefits_other_benefits_5,0.8645304997063769
title_0,0.8542789874373797
mean_region_mean_salary,0.8400681530085791
industry_profession,0.8365633065868638
job_benefits_other_benefits_3,0.8180475233295913
region_industry,0.8124972787274001
job_benefits_other_benefits_4,0.812460357039492
random,0.8120403863700373
job_benefits_other_benefits_0,0.8075641017168692
experience_requirements,0.7872213355983917
min_federal_district_profession_mean_salary,0.7636544263177757
std_region_mean_salary,0.7337756110070482
accommodation_capability,0.7280519395151471
region,0.7130004147042568
federal_district,0.7005619278678507
federal_district_profession,0.6776285265995293
mean_federal_district_profession_mean_salary,0.6347668641772994
premium_type_work_hours,0.6277938415704583
id,0.5917797857886371
work_hours,0.584332967060121
max_region_mean_salary,0.5694932788586341
date_posted,0.5674342192230085
min_education_requirements_education_type_profession_mean_salary,0.5553346122366469
year_quarter,0.5548515884952441
season,0.5519494372822386
month,0.5473025190146655
inner_info_contact_source,0.5387842969962207
amplitude_region_mean_salary,0.5377066771036042
wpypz_wprgv,0.5366375365002887
quarter,0.5306003939480917
std_education_requirements_education_type_profession_mean_salary,0.5233641660964902
mean_education_requirements_education_type_profession_mean_salary,0.5230457870936635
is_uzbekistan_recruitment,0.5223108469446119
min_education_requirements_education_type_industry_mean_salary,0.5203411113062008
need_medcard,0.5181062685450912
max_federal_district_profession_mean_salary,0.516008183328784
year,0.47316757894028166
employment_type,0.4649945497512912
amplitude_federal_district_profession_mean_salary,0.44376976663429846
industry,0.42426959218104876
min_profession_mean_salary,0.42258647068213245
education_requirements_education_type_profession,0.4214173270069459
education_requirements_education_type,0.4168915188572518
disabled,0.4110659568524958
median_work_hours_mean_salary,0.405197752899
std_education_requirements_education_type_industry_mean_salary,0.4022757251099549
accommodation_housing,0.390121092325229
incentive_compensation_transport_compensation,0.385255775115331
max_work_hours_mean_salary,0.37869775261355965
social_protecteds_social_protected,0.37581526487291034
min_industry_mean_salary,0.3676297094015515
max_education_requirements_education_type_profession_mean_salary,0.36406427119792795
work_places * retraining_grant_value,0.35708646295934193
education_requirements_education_type_industry,0.355986640572078
min_year_month_mean_salary,0.35394886378334484
drive_licences,0.34558134419244835
median_education_requirements_education_type_industry_mean_salary,0.34374366105889137
profession,0.34031949804584866
inner_info_source_type,0.3374274847463204
amplitude_profession_mean_salary,0.33378447842362274
max_education_requirements_education_type_industry_mean_salary,0.3226310197856307
min_work_hours_mean_salary,0.3197412261193919
max_profession_mean_salary,0.3175826255728398
min_year_quarter_mean_salary,0.315262805217734
std_work_hours_mean_salary,0.31409674697925155
std_year_month_mean_salary,0.3086810616294027
max_industry_mean_salary,0.30699090788041566
amplitude_education_requirements_education_type_profession_mean_salary,0.3061907220705741
median_profession_mean_salary,0.30400685621631807
min_education_requirements_education_type_mean_salary,0.3012373216002499
amplitude_education_requirements_education_type_industry_mean_salary,0.29609489230470587
work_places,0.28412155422770674
year_season,0.2777080442366661
year_month,0.27258563292132704
inner_info_source_type_source,0.2703877293139215
median_education_requirements_education_type_mean_salary,0.2686000982613194
mean_education_requirements_education_type_industry_mean_salary,0.25098360249262125
mean_profession_mean_salary,0.2403530980007556
max_year_month_mean_salary,0.23459831011625545
driver_licence_b,0.22967598343477014
source,0.21755441198810263
max_year_season_mean_salary,0.21643241628588858
amplitude_work_hours_mean_salary,0.21275850657430728
std_industry_mean_salary,0.2059276802524718
mean_work_hours_mean_salary,0.2008781232687362
driver_licence_c,0.19584840970259604
max_year_quarter_mean_salary,0.18462715404133315
mean_year_quarter_mean_salary,0.18081413931388102
amplitude_industry_mean_salary,0.18072797901049986
amplitude_year_month_mean_salary,0.18013546795241278
premium_type,0.16844172658356069
max_education_requirements_education_type_mean_salary,0.15667607409358508
education_academic_degree_education_requirements_education_type,0.14994594371141573
requirements_id_priority_category,0.14838514025630292
std_year_season_mean_salary,0.1469151160416117
mean_education_requirements_education_type_mean_salary,0.1399680235363136
driver_licence_d,0.13609985144476236
driver_licence_e,0.13494320184016267
amplitude_education_requirements_education_type_mean_salary,0.1309298861017273
median_year_season_mean_salary,0.12614390094422978
mean_industry_mean_salary,0.12180710077524043
mean_year_month_mean_salary,0.11427347884442594
median_employment_type_mean_salary,0.11361486981174351
min_year_season_mean_salary,0.1084571507744211
min_employment_type_mean_salary,0.1039531414114215
job_benefits,0.10082691602466473
metro_station,0.09316123869855336
mean_employment_type_mean_salary,0.08923798792820849
std_education_requirements_education_type_mean_salary,0.08922184704844667
payment_meals,0.07622752836601902
max_employment_type_mean_salary,0.07359900383666305
median_year_month_mean_salary,0.0705081215853623
median_industry_mean_salary,0.06919719493635118
large_families,0.06222025450357494
vouchers_health_institutions,0.056313253707135025
inner_info_status,0.05417475856330267
median_year_quarter_mean_salary,0.053835333124631124
std_employment_type_mean_salary,0.052165386912480925
additional_info_5,0.05021911008109093
dms,0.04914182624185232
retraining_grant,0.04584609509610476
