Feature Id,Importances
organization,10.47364562021095
region_profession,2.1293630102474985
job_location_geo_longitude,2.0219411503685394
job_location_geo_latitude,1.937753020164522
requirements_qualifications_1,1.3605420394343102
median_federal_district_profession_mean_salary,1.3532321526601525
requirements_qualifications_3,1.3498455545423405
requirements_qualifications_6,1.3420898065016984
requirements_qualifications_5,1.2963405495045046
requirements_qualifications_7,1.2806279193504475
responsibilities_5,1.2323160096424093
requirements_qualifications_4,1.2174570708394519
min_region_mean_salary,1.212563789388838
title_6,1.2120615757884878
requirements_qualifications_2,1.2046299930182918
requirements_qualifications_0,1.1978910985970865
title_5,1.1905946928302953
responsibilities_0,1.1545329044458643
responsibilities_6,1.1398305946003862
date_creation_timestamp,1.1336320863378562
title_7,1.1299811176730739
median_region_mean_salary,1.1299146198581798
title_4,1.1284424744643924
responsibilities_4,1.1235759528688427
responsibilities_3,1.1097622461119712
responsibilities_2,1.1038802276265234
responsibilities_7,1.0975333770404945
title_1,1.072528652928758
responsibilities_1,1.035423626125263
title_3,1.0143885942770425
job_benefits_other_benefits_2,0.9759835586440736
job_benefits_other_benefits_1,0.9275613317515435
day,0.923798189035371
job_benefits_other_benefits_7,0.922894413919122
median_education_requirements_education_type_profession_mean_salary,0.9223198259434038
job_benefits_other_benefits_5,0.886247360644576
title_2,0.8782599542159986
job_benefits_other_benefits_6,0.876884856470326
job_benefits_other_benefits_3,0.8649676061959223
industry_profession,0.8571734127134466
std_federal_district_profession_mean_salary,0.8490543118935975
mean_region_mean_salary,0.843235026734926
region_industry,0.8135678375301311
title_0,0.8073325776111594
job_benefits_other_benefits_0,0.8011937837353824
random,0.7949055599171096
job_benefits_other_benefits_4,0.7854133767813557
experience_requirements,0.7850043539917028
min_federal_district_profession_mean_salary,0.7740723713364813
accommodation_capability,0.743500275899855
std_region_mean_salary,0.7122112741857637
federal_district,0.7026107167854697
region,0.6921084400995926
federal_district_profession,0.6760409780664597
mean_federal_district_profession_mean_salary,0.6308425411813189
premium_type_work_hours,0.6035991076231804
id,0.5870185659241541
date_posted,0.5862129361832285
work_hours,0.5779850956213443
max_region_mean_salary,0.5734888090274144
mean_education_requirements_education_type_profession_mean_salary,0.5634280396608089
wpypz_wprgv,0.5617826086873741
month,0.5598197826043607
season,0.5532307395469668
min_education_requirements_education_type_profession_mean_salary,0.5512060482407914
year_quarter,0.5507947041596787
inner_info_contact_source,0.5490573376492752
std_education_requirements_education_type_profession_mean_salary,0.5484879580042705
amplitude_region_mean_salary,0.537449167872751
max_federal_district_profession_mean_salary,0.5339099005430045
min_education_requirements_education_type_industry_mean_salary,0.526261068123292
need_medcard,0.5221429289768987
quarter,0.5172225694296537
is_uzbekistan_recruitment,0.5168267088374231
amplitude_federal_district_profession_mean_salary,0.4629164777494598
year,0.4556937241510326
employment_type,0.4366047704501813
industry,0.42998683482664696
education_requirements_education_type_profession,0.41830205100211626
min_profession_mean_salary,0.411199294854115
disabled,0.40416135633840966
education_requirements_education_type,0.39159487320427694
max_work_hours_mean_salary,0.38911246580187064
std_education_requirements_education_type_industry_mean_salary,0.38632276303187096
education_requirements_education_type_industry,0.38580841632371365
social_protecteds_social_protected,0.38478639114821034
incentive_compensation_transport_compensation,0.3835649981622057
max_education_requirements_education_type_profession_mean_salary,0.37282636207850883
std_work_hours_mean_salary,0.3718519149408728
min_industry_mean_salary,0.3625583480944312
min_year_month_mean_salary,0.3610361605862382
median_work_hours_mean_salary,0.3595632852332315
accommodation_housing,0.3544674076528224
min_education_requirements_education_type_mean_salary,0.3428916060676161
max_profession_mean_salary,0.3342850893172453
drive_licences,0.3275453795087774
inner_info_source_type,0.32716811656793887
median_education_requirements_education_type_industry_mean_salary,0.3234135693618602
amplitude_profession_mean_salary,0.32087452868713484
min_year_quarter_mean_salary,0.32073576631838235
work_places * retraining_grant_value,0.3197568673692777
profession,0.3184341530452398
max_education_requirements_education_type_industry_mean_salary,0.3119946583360347
min_work_hours_mean_salary,0.301825161282169
amplitude_education_requirements_education_type_profession_mean_salary,0.2993945221593334
inner_info_source_type_source,0.2941747875827497
std_year_month_mean_salary,0.29230179243297344
median_profession_mean_salary,0.29094378469895626
mean_education_requirements_education_type_industry_mean_salary,0.286583140292075
max_industry_mean_salary,0.2863794970726174
year_season,0.28305217800139504
work_places,0.27965261329536417
amplitude_education_requirements_education_type_industry_mean_salary,0.2743172783418041
year_month,0.2616579640255868
median_education_requirements_education_type_mean_salary,0.25592968643911945
max_year_season_mean_salary,0.2407546292483144
max_year_month_mean_salary,0.22683365495567312
driver_licence_b,0.22567710592177626
mean_profession_mean_salary,0.22394481851325693
amplitude_work_hours_mean_salary,0.22040118390050664
source,0.2142558946723811
mean_work_hours_mean_salary,0.21081581340323635
driver_licence_c,0.20728239848384153
std_industry_mean_salary,0.19815773251318913
amplitude_year_month_mean_salary,0.1967289693493094
max_year_quarter_mean_salary,0.1936525238537346
education_academic_degree_education_requirements_education_type,0.1878447328128806
amplitude_industry_mean_salary,0.1870875423746939
premium_type,0.18542853104036539
mean_year_quarter_mean_salary,0.17174529668466865
max_education_requirements_education_type_mean_salary,0.16320774203973415
requirements_id_priority_category,0.16300264537069414
std_year_season_mean_salary,0.1506792347365408
driver_licence_e,0.1409776662494996
driver_licence_d,0.13547944487508873
amplitude_education_requirements_education_type_mean_salary,0.12627735250862476
mean_industry_mean_salary,0.1258604765229154
median_employment_type_mean_salary,0.11825365006734166
mean_education_requirements_education_type_mean_salary,0.11824176086027305
median_year_season_mean_salary,0.11480976611767998
mean_year_month_mean_salary,0.10685232927144682
job_benefits,0.10389925531492628
min_employment_type_mean_salary,0.10172202018009703
min_year_season_mean_salary,0.09899864863403228
metro_station,0.0957087730826094
mean_employment_type_mean_salary,0.09429696234994803
std_education_requirements_education_type_mean_salary,0.09387038179764205
payment_meals,0.08118802931081272
median_industry_mean_salary,0.07447274050122508
median_year_month_mean_salary,0.07114901020000775
max_employment_type_mean_salary,0.06816700059379824
large_families,0.062149798877640924
amplitude_employment_type_mean_salary,0.055220347375688296
inner_info_status,0.052054510380405275
median_year_quarter_mean_salary,0.05068533672882969
vouchers_health_institutions,0.04915760837140168
dms,0.04905700032573153
std_employment_type_mean_salary,0.04341691797397588
mean_year_season_mean_salary,0.04235371848985201
retraining_grant,0.042302011517976974
education_requirements_speciality_6,0.04167046824972967
education_requirements_speciality_3,0.041367678331068844
education_requirements_speciality_5,0.04135344538282454
additional_info_5,0.04085697014721757
driver_licence_a,0.040817888327934405
min_source_mean_salary,0.04064678001800549
workers_with_disabled_children,0.04024083337472165
education_requirements_speciality_0,0.03904635224268134
payment_sports_activities,0.03901820613237188
single_parent,0.03842499137956736
education_requirements_speciality_7,0.038335235734247755
median_source_mean_salary,0.038265020568214535
education_requirements_speciality_2,0.03793858290407441
education_requirements_speciality_4,0.03792554358975548
mean_source_mean_salary,0.03747626766443808
additional_info_2,0.03588959171640297
education_requirements_speciality_1,0.03559709585016858
additional_info_3,0.03474605449471692
max_accommodation_housing_mean_salary,0.03276308238134345
additional_info_4,0.032567149231827346
median_accommodation_housing_mean_salary,0.0324375853858309
amplitude_source_mean_salary,0.031030673663258665
std_source_mean_salary,0.030177265267533247
amplitude_year_season_mean_salary,0.029735195831522544
max_source_mean_salary,0.02867010950453712
minor_workers,0.028306116102097174
mean_accommodation_housing_mean_salary,0.026920405414599332
additional_info_7,0.026283368271602697
additional_info_6,0.026212022564279156
additional_info_1,0.026108581748636624
std_accommodation_housing_mean_salary,0.025831859513676312
education_academic_degree,0.02516808902898289
min_accommodation_housing_mean_salary,0.02423650801153668
amplitude_year_quarter_mean_salary,0.02400913094777794
year_premium_size,0.023495533705839466
released_persons,0.020805289422443234
additional_info_0,0.02042892798472675
career_perspective_5,0.02002086305926565
caring_workers,0.019853243056312374
career_perspective_4,0.01802489173276999
career_perspective_7,0.017913081139501616
amplitude_accommodation_housing_mean_salary,0.01786270756684729
career_perspective_0,0.016335741485264427
career_perspective_3,0.01628313699645764
career_perspective_2,0.01585509572964252
requirements_required_certificates_1,0.015150942192596582
career_perspective_1,0.014919748129841445
requirements_required_certificates_6,0.014776961242588416
work_places * year_premium_size,0.01473079925166163
career_perspective_6,0.014348443773047594
requirements_required_certificates_7,0.014344358570366209
requirements_required_certificates_5,0.013438422887125144
